SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,GradeTested,ELATotalTestedNotTested,ELATotalTested,ELAMetStandardIncludingPrevPass,ELAPercentMetStandardIncludingPrevPass,ELAMetStandardWithoutPrevPass,ELAPercentMetStandardWithoutPrevPass,ELAPercentMetStandardExcludingNoScore,ELALevel1,ELAPercentLevel1,ELALevel2,ELAPercentLevel2,ELALevelBasic,ELAPercentLevelBasic,ELALevel3,ELAPercentLevel3,ELALevel4,ELAPercentLevel4,ELANoScore,ELAPercentNoScore,ELANotMet,ELAPercentNotMet,ELAExcusedAbsence,ELAExempted,ELAWAASPORT,ELAWAASDAPE,MathTotalTestedNotTested,MathTotalTested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,ELALevelIndex,MathLevelIndex
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,3,258,258,112,43.39,112,43.39,43.4,68,26.3,78,30.19,2,0.7,69,26.69,41,15.8,0,0,146,56.5,,10,3,,258,258,118,45.7,118,45.7,45.7,68,26.3,72,27.89,0,0,77,29.8,41,15.8,0,0,140,54.2,,11,3,,2.3,2.35
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,4,205,200,82,40,82,40,41,80,39,38,18.5,5,2.39,48,23.39,29,14.09,5,2.39,123,60,,10,1,,205,199,95,46.29,95,46.29,47.7,42,20.39,62,30.19,3,1.39,63,30.69,29,14.09,6,2.89,110,53.6,,9,1,,2.03,2.29
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,5,224,217,100,44.6,100,44.6,46.1,63,28.1,54,24.1,6,2.6,69,30.8,25,11.09,7,3.1,124,55.29,,14,4,,223,217,69,30.89,69,30.89,31.8,63,28.19,85,38.1,8,3.5,41,18.3,20,8.9,6,2.6,154,69,1,14,4,,2.13,1.95
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,6,237,235,102,43,102,43,43.4,50,21,83,35,6,2.5,82,34.5,14,5.9,2,0.8,135,56.89,,6,2,,237,236,91,38.29,91,38.29,38.6,60,25.3,85,35.79,4,1.6,60,25.3,27,11.3,1,0.4,146,61.6,,6,2,,2.18,2.18
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,7,213,212,92,43.1,92,43.1,43.4,60,28.1,60,28.1,0,0,72,33.79,20,9.3,1,0.4,121,56.79,,9,,,215,214,63,29.3,63,29.3,29.4,70,32.5,81,37.6,0,0,39,18.1,24,11.09,1,0.4,152,70.59,,9,,,2.23,2.06
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,8,227,219,82,36.1,82,36.1,37.4,63,27.69,74,32.5,0,0,60,26.39,22,9.59,8,3.5,145,63.79,,7,,,227,218,58,25.5,58,25.5,26.6,92,40.5,68,29.89,0,0,29,12.69,29,12.69,9,3.89,169,74.4,,7,,,2.1,1.89
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,11,198,77,38,19.1,38,19.1,49.4,17,8.5,22,11.09,0,0,23,11.59,15,7.5,121,61.1,160,80.79,1,38,1,,200,,,,,,,,,,,,,,,,,,,,,,,,,0.95,
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,3,44,44,27,61.29,27,61.29,61.4,4,9,13,29.5,0,0,9,20.39,18,40.89,0,0,17,38.6,,1,,,44,44,33,75,33,75,75,4,9,7,15.9,0,0,21,47.7,12,27.19,0,0,11,25,,1,,,2.93,2.93
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,4,34,32,19,55.79,19,55.79,59.4,7,20.5,6,17.6,0,0,7,20.5,12,35.2,2,5.79,15,44.1,,1,,,34,33,24,70.5,24,70.5,72.7,0,0,9,26.39,0,0,19,55.79,5,14.69,1,2.89,10,29.39,,1,,,2.58,2.79
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,5,40,40,22,55,22,55,55,13,32.5,5,12.5,0,0,14,35,8,20,0,0,18,45,,2,,,40,40,17,42.5,17,42.5,42.5,8,20,15,37.5,0,0,8,20,9,22.5,0,0,23,57.39,,2,,,2.43,2.45
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,6,48,48,28,58.29,28,58.29,58.3,8,16.6,12,25,0,0,24,50,4,8.3,0,0,20,41.6,,,,,48,48,21,43.7,21,43.7,43.8,11,22.89,16,33.29,0,0,12,25,9,18.69,0,0,27,56.2,,,,,2.5,2.39
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,7,45,44,26,57.7,26,57.7,59.1,8,17.69,10,22.19,0,0,21,46.6,5,11.09,1,2.2,19,42.2,,1,2,,45,44,20,44.39,20,44.39,45.5,7,15.5,17,37.7,0,0,12,26.6,8,17.69,1,2.2,25,55.5,,1,2,,2.46,2.41
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,8,59,59,25,42.29,25,42.29,42.4,12,20.3,22,37.2,0,0,22,37.2,3,5,0,0,34,57.6,,1,,,59,58,16,27.1,16,27.1,27.6,19,32.2,23,38.89,0,0,13,22,3,5,1,1.6,43,72.79,,1,,,2.26,1.96
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,11,57,52,18,31.5,18,31.5,34.6,23,40.29,11,19.19,0,0,13,22.8,5,8.69,5,8.69,39,68.4,,4,,,57,51,10,17.5,10,17.5,19.6,24,42.1,17,29.8,0,0,7,12.19,3,5.2,6,10.5,47,82.4,,4,,,1.82,1.59
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,3,7,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,4,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,5,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,6,29,29,15,51.7,15,51.7,51.7,8,27.5,6,20.6,0,0,8,27.5,7,24.1,0,0,14,48.2,,,,,29,29,11,37.89,11,37.89,37.9,11,37.89,7,24.1,0,0,7,24.1,4,13.69,0,0,18,62,,,,,2.48,2.13
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,7,19,19,9,47.29,9,47.29,47.4,4,21,6,31.5,0,0,7,36.79,2,10.5,0,0,10,52.6,,,,,19,19,11,57.79,11,57.79,57.9,5,26.3,3,15.69,0,0,5,26.3,6,31.5,0,0,8,42.1,,,,,2.36,2.63
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,8,29,29,21,72.4,21,72.4,72.4,4,13.69,4,13.69,0,0,11,37.89,10,34.39,0,0,8,27.5,,,1,,29,29,18,62,18,62,62.1,3,10.3,8,27.5,0,0,5,17.19,13,44.79,0,0,11,37.89,,,1,,2.92,2.96
